source_db_id,n_workchains,n_finished,n_finished_ok,n_finished_with_energy,max_submitted_kindex,medium_kindex,well_kindex,ultra_kindex,ultra_converged,max_finished_kindex,ultra_k_mesh,ultra_energy_per_atom,ultra_oscillation_meV_per_atom,ultra_pk
S1003693,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 2]",-648.5641293314047,0.8045584286264784,389770.0
S1003699,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[3, 3, 2]",-1782.328893530125,0.4755686250064173,389868.0
S1003702,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-1255.7094320927272,0.781177045610093,389959.0
S1003711,10,10,10,10,9,2.0,5.0,5.0,True,9.0,"[3, 3, 2]",-1603.5296708395,0.8676084376020299,390063.0
S1003712,12,12,12,12,11,4.0,5.0,6.0,True,11.0,"[2, 2, 5]",-1281.5924656384584,0.2886160416437633,390194.0
S1003723,9,9,9,9,8,3.0,4.0,5.0,True,8.0,"[3, 2, 3]",-606.858418801475,0.9533271750115091,390363.0
S1003724,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-679.3085903065455,0.3999794090532305,390459.0
S1003728,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[1, 2, 1]",-842.4617046871999,0.6266942500587902,390514.0
S1003730,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[3, 3, 1]",-853.6233162186578,0.7642646314707235,390636.0
S1003733,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-481.729188182875,0.10673787500081744,390717.0
S1003753,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 1]",-676.8727967018,0.48604120001982665,390834.0
S1003758,7,7,7,7,6,2.0,2.0,4.0,True,6.0,"[2, 2, 3]",-342.1696239094917,0.7296032416093112,390931.0
S1003772,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[2, 2, 1]",-1747.2791092926564,0.7450651874023606,391026.0
S1003810,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-601.7614552208333,0.046330194436450256,391080.0
S1003823,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[3, 1, 1]",-544.2764991102,0.23815403335447627,391152.0
S1003828,6,6,6,6,5,2.0,3.0,3.0,True,5.0,"[2, 2, 2]",-462.45770530313337,0.7035594333615336,391259.0
S1003830,6,6,6,6,5,2.0,3.0,3.0,True,5.0,"[3, 2, 1]",-528.9974867989333,0.16056986669354956,391358.0
S1003841,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[2, 1, 1]",-559.7333380827222,0.49809680558610125,391415.0
S1003842,6,6,6,6,5,3.0,3.0,3.0,True,5.0,"[3, 2, 1]",-559.7404226104167,0.7735531041817012,391492.0
S1003854,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[2, 2, 1]",-830.9743575624074,0.18666103699160885,391547.0
S1003883,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[2, 2, 1]",-378.68584706955,0.5900495750097434,391647.0
S1003925,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[2, 2, 2]",-1027.2309576016876,0.6773908748982649,391763.0
S1003943,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-1034.233824466107,0.06605632142964168,391847.0
S1003978,7,7,7,7,6,1.0,2.0,4.0,True,6.0,"[2, 2, 3]",-538.6443218419629,0.060336444562381075,391928.0
S1004134,13,13,13,13,12,3.0,4.0,5.0,True,12.0,"[5, 5, 2]",-8449.439950278125,0.7311949993891176,392050.0
S1004136,13,13,13,13,12,9.0,9.0,10.0,True,12.0,"[8, 8, 4]",-1206.8819415953599,0.894434120027654,392272.0
S1004185,7,7,7,7,6,3.0,3.0,4.0,True,6.0,"[4, 4, 2]",-645.0999487855,0.8051748832258454,392395.0
S1004192,7,7,7,7,6,1.0,2.0,4.0,True,6.0,"[3, 2, 2]",-1834.0043400242498,0.03864120003527205,392474.0
S1004193,7,7,7,7,6,2.0,4.0,4.0,True,6.0,"[3, 2, 2]",-1833.9977450448,0.3068311500555865,392621.0
S1004207,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 1, 1]",-498.7352035086042,0.8700368541667558,392727.0
S1004218,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 2]",-864.5715000933571,0.4257436428360961,392800.0
S1004223,9,9,9,9,8,4.0,4.0,6.0,True,8.0,"[5, 5, 3]",-1574.234079250875,0.25517850008327514,392938.0
S1004225,9,9,9,9,8,4.0,4.0,6.0,True,8.0,"[5, 5, 3]",-1554.1486140245,0.2597919999516307,393050.0
S1004234,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[3, 3, 2]",-828.8640409626153,0.06047969247902074,393129.0
S1004236,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[1, 3, 1]",-386.32130277699997,0.10673359088286816,393241.0
S1004238,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 2]",-1076.657284062111,0.6578764814548776,393325.0
S1004239,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[2, 3, 1]",-502.81664555094125,0.20317244104717247,393423.0
S1004244,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 2]",-951.1465501365625,0.11342812501879962,393503.0
S1004253,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[2, 1, 2]",-980.9036739665313,0.4233898750953813,393589.0
S1004266,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[4, 4, 4]",-556.6887582106667,0.12960200001543853,393678.0
S1004269,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[3, 3, 3]",-771.8116999524667,0.8266053666829976,393746.0
S1004274,13,13,13,13,12,3.0,3.0,9.0,True,12.0,"[6, 6, 5]",-476.92177130779,0.6524278800270622,393892.0
S1004289,12,12,12,12,11,4.0,4.0,7.0,True,11.0,"[4, 3, 3]",-692.4361367891923,0.3029511539125451,393989.0
S1004307,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[2, 2, 2]",-836.734050527,0.9841563750114801,394128.0
S1004314,6,6,6,6,5,0.0,1.0,2.0,True,5.0,"[2, 2, 1]",-410.64956958852497,0.11665297500940142,394208.0
